chapter number,start segment,end segment,chapter title,summary
1.0,22,23,《黑猩猩的政治》推荐序,"在黑猩猩社区中，一个群体的两个派系，或者同一派系内的两个个体，都会在冲突结束后，通过强烈的情感接触重新建立友谊。

冲突结束后，黑猩猩社区会通过强烈的情感接触重新建立友谊，以友爱、和睦为常态。"
1.0,24,25,《黑猩猩的政治》推荐序,* 黑猩猩无法忍受敌对、防范、冲突的状态，只有和睦的状态才能让它们的内心平安。
1.0,26,27,《黑猩猩的政治》推荐序,伊冯与巧蔻的童年友谊，证明了伤害不是单向的，获得谅解才能解脱。
1.0,28,29,《黑猩猩的政治》推荐序,黑猩猩的拥抱让伊冯感动，也给了她一次情感冲击，表明它们超越物种界限，甚至还能居中调和冲突。
1.0,30,31,《黑猩猩的政治》推荐序,德瓦尔认为黑猩猩拥有超强的自制力，即使有能力杀死对手，也会赤手空拳地寻求和解。
1.0,32,33,《黑猩猩的政治》推荐序,雄性黑猩猩的战斗通常受到严格的行为规范支配，犬牙的使用也受到严格限制，双方在武力炫示后，如果一方表示屈服，武力攻击就会终止。
1.0,34,35,《黑猩猩的政治》推荐序,黑猩猩和儿童之间存在类似的求助行为，攻击者会停止攻击，被求助者会得到力量认可。
1.0,36,38,《黑猩猩的政治》推荐序,人类与黑猩猩之间有着惊人的相似之处，特别是在暴力冲突中，弱者会求助于更强大的力量，以缓冲暴力，体力也是决定动物地位的重要因素。
1.0,39,40,《黑猩猩的政治》推荐序,德瓦尔指出，体力不是决定黑猩猩统治关系的唯一因素，而是取决于能否获得群众支持，社会关系决定战斗结果，而不是反过来。
1.0,41,43,《黑猩猩的政治》推荐序,鲁伊特作为阿纳姆黑猩猩的第二任雄一号，肩负着维护群体公平的职责，他在两个黑猩猩争斗时站在弱者一边，一年后支持输家的比例更进一步上升到87%，以此维护群体和谐，保护弱者，防止冲突升级。
1.0,44,45,《黑猩猩的政治》推荐序,黑猩猩雄性的地位依赖于他们对雌性和孩子的保护，他们在对待孩子时无一例外地宽厚容忍。
1.0,46,47,《黑猩猩的政治》推荐序,通过阅读卢风教授与杜维明教授的对话，提出了学习比宽容更谦逊的态度，并讨论了人类研究动物的目的，以及人类学和动物行为学之间的连续谱。
1.0,48,49,《黑猩猩的政治》推荐序,"而现在，它已经发展成为一门科学，研究者们更多地关注于保护和改善动物的生活。

莫里斯的《裸猿》描述人类行为，德瓦尔的《黑猩猩》研究人类学，两者构成了人类行为学和人类学的连续谱，从殖民化运动到科学研究，研究者们转向保护和改善动物生活。"
1.0,50,51,《黑猩猩的政治》推荐序,人类学以进步论为出发点，研究原始人类以探索文明进化序列，但现在已普遍摒弃进步论，以文化相对主义为研究起点。
1.0,52,54,《黑猩猩的政治》推荐序,人类学家以观察者的角色，为我们提供了一面镜子，让我们反观自身，以解决当下的生态危机、人与自然关系紧张及社会内部冲突。
1.0,55,56,《黑猩猩的政治》推荐序,人类学和动物行为学可以给人类提供反思自我的机会，让人们借鉴和学习其他文明模式。
1.0,57,58,《黑猩猩的政治》推荐序,老板拖欠农民工工资，拆迁者把推土机开向人家，贪婪、自私、残暴不应该是人的本性。
1.0,59,60,《黑猩猩的政治》推荐序,人类的贪婪、自私和残暴行为是社会性，而非生物本性，是文明的结果。人类拥有更强的掌控能力，但社会是否比黑猩猩更好？人与动物之间，有多遥远的距离？人类所声称的文明可以怀疑。
1.0,61,63,《黑猩猩的政治》推荐序,德瓦尔认为，人类和黑猩猩之间很难画出一条截然的界限，人类行为充满动物性，而黑猩猩行为具有复杂的社会性。
1.0,64,66,《黑猩猩的政治》推荐序,人类认识到自己与动物的关系，是现代性思想的结果，基督教也有关系。
1.0,67,69,《黑猩猩的政治》推荐序,传统民族认为人与动物是亲戚关系，神话不是虚构的故事，而是哲学、历史、律法，动物权利与自然权利是传统民族的生存前提。
1.0,70,71,《黑猩猩的政治》推荐序,这段文字描述了作者对动物社会的反思，最终以鲁伊特的死亡结束，令作者意外和伤感。
1.0,72,74,《黑猩猩的政治》推荐序,黑猩猩社区的和谐行为反衬了人类内部的敌意，提醒人类要警惕恶的可能性，作者发出感慨，希望引发关注。
1.0,5,11,《黑猩猩的政治》推荐序,弗朗斯·德瓦尔通过观察1975-1979年间的黑猩猩活动，写出了《黑猩猩的政治——猿类的权力与性》，将历史方法引入到黑猩猩的研究，使其成为黑猩猩的历史学、人类学和社会学。
1.0,12,15,《黑猩猩的政治》推荐序,"德瓦尔观察黑猩猩，尽可能接近自然条件，发现黑猩猩群落形成准自然群落，但不用花时间觅食，可以把全部时间用来从事""精神性的""活动，从而强化社会生活，让人们对黑猩猩产生感情。"
1.0,16,21,《黑猩猩的政治》推荐序,
1.0,22,29,《黑猩猩的政治》推荐序,
1.0,30,38,《黑猩猩的政治》推荐序,德瓦尔发现黑猩猩拥有超强的自制力，在暴力冲突中，弱者会求助于更强大的力量，以缓冲暴力，体力也是决定动物地位的重要因素。
1.0,39,45,《黑猩猩的政治》推荐序,德瓦尔指出，黑猩猩统治关系不仅取决于体力，还取决于社会关系，鲁伊特作为阿纳姆黑猩猩的第二任雄一号，维护群体公平，保护弱者，防止冲突升级，雄性的地位依赖于他们对雌性和孩子的保护。
1.0,46,49,《黑猩猩的政治》推荐序,学习比宽容更谦逊的态度，是人类研究动物的目的。
1.0,50,58,《黑猩猩的政治》推荐序,人类学摒弃进步论，以文化相对主义为研究起点，为我们提供反思自我的机会，拒绝贪婪、自私、残暴的本性。
1.0,59,66,《黑猩猩的政治》推荐序,人类的贪婪、自私和残暴行为是文明的结果，而非生物本性，人与动物之间有着遥远的距离，德瓦尔认为人类行为充满动物性，现代性思想和基督教也有关系。
1.0,67,74,《黑猩猩的政治》推荐序,传统民族认为动物与人有亲戚关系，作者通过鲁伊特的死亡反思动物社会，提醒人类要警惕恶的可能性，希望引发关注。
1.0,5,29,《黑猩猩的政治》推荐序,弗朗斯·德瓦尔通过观察黑猩猩活动，将历史方法引入研究，发现黑猩猩群落形成准自然群落，强化社会生活，让人们对黑猩猩产生感情。
1.0,30,49,《黑猩猩的政治》推荐序,德瓦尔发现黑猩猩拥有超强的自制力，体力和社会关系决定其统治地位，雄性的地位依赖于他们对雌性和孩子的保护。人类可以从动物学习比宽容更谦逊的态度。
1.0,50,74,《黑猩猩的政治》推荐序,人类学提倡文化相对主义，反思自我，拒绝贪婪、自私、残暴的本性，提醒人类要警惕恶的可能性，希望引发关注。
1.0,5,74,《黑猩猩的政治》推荐序,弗朗斯·德瓦尔发现黑猩猩拥有自然群落、超强自制力和社会关系，人类可以从中学习更谦逊的态度，拒绝贪婪、自私、残暴的本性，警惕恶的可能性，引发关注。
1.1,75,77,德斯蒙德·莫里斯推荐序,德斯蒙德·莫里斯提出：政治的根比人类更古老，挑战了千百年来人们被告知的人与其他动物根本不同的观念。
1.1,78,79,德斯蒙德·莫里斯推荐序,人类是演化过程中最不同寻常、最成功的物种，与猿类有明显的性质差异，如艺术才能、工具制造能力和语言能力。
1.1,80,81,德斯蒙德·莫里斯推荐序,人类拥有政治，猿类没有，但随着时间的推移，这种差异逐渐变得模糊。1950年代，黑猩猩已经能够表达审美，通过绘画和改变来多样化思想。
1.1,82,84,德斯蒙德·莫里斯推荐序,黑猩猩具有制造工具和学习语言的能力，与人类的艺术才能相比，只是程度上的差异。
1.1,85,86,德斯蒙德·莫里斯推荐序,黑猩猩能学会上百个不同的手势符号，表明人类与猿类在语言能力上的差异并不明显，人类只不过比猿类做得好得多而已。
1.1,87,88,德斯蒙德·莫里斯推荐序,1980年代，研究发现黑猩猩的政治活动更为复杂，表明我们与猿类的距离更近，他们擅长精妙的政治策略，如权力接管、统治与被统治关系、权力斗争等。
1.1,89,91,德斯蒙德·莫里斯推荐序,黑猩猩的复杂行为直到1980年代才被分析出来，这是由于过去几十年中人们对猿类的看法，将它们视为野兽和妖魔。
1.1,92,93,德斯蒙德·莫里斯推荐序,人们对猿类的态度从恐惧变成了友好，从观赏变成了研究，引发了科学家对猿类智能的重要研究。
1.1,94,95,德斯蒙德·莫里斯推荐序,简·古多尔等人开启了野外实地研究，揭示了野生状态中猿群复杂的社会，安东与简·范·霍夫兄弟在荷兰阿纳姆动物园建立了大型黑猩猩圈养基地，探索猿类社会生活状况。
1.1,96,98,德斯蒙德·莫里斯推荐序,阿纳姆黑猩猩群体在动物行为学家的观察下，在孤岛式群体圈养区繁育兴旺，获得的细节比以往任何形式的观察都要多，推动了人类对黑猩猩行为的理解，阿纳姆研究项目不断带来新发现。
1.1,99,100,德斯蒙德·莫里斯推荐序,黑猩猩的社会谋略复杂得令人着迷，《黑猩猩的政治》一书的出版证明了这一点，报告的内容将我们对这些最亲近的亲戚的知识推向新的阶段。
1.1,75,84,德斯蒙德·莫里斯推荐序,德斯蒙德·莫里斯提出，人类与猿类有明显的性质差异，但随着时间的推移，这种差异逐渐变得模糊，黑猩猩具有艺术才能、工具制造能力和语言能力，与人类只有程度上的差异。
1.1,85,93,德斯蒙德·莫里斯推荐序,黑猩猩能学会上百个不同的手势符号，表明人类与猿类在语言能力上的差异不明显，1980年代研究发现它们的政治活动更为复杂，这是由于人们对猿类的态度从恐惧变成友好，从观赏变成研究，引发了科学家对猿类智能的重要研究。
1.1,94,98,德斯蒙德·莫里斯推荐序,简·古多尔等人开启野外实地研究，安东与简·范·霍夫兄弟在荷兰阿纳姆动物园建立大型黑猩猩圈养基地，探索猿类社会生活状况，阿纳姆黑猩猩群体在动物行为学家的观察下获得丰富细节，推动了人类对黑猩猩行为的理解，不断带来新发现。
1.1,99,100,德斯蒙德·莫里斯推荐序,黑猩猩的社会谋略复杂而精妙，《黑猩猩的政治》一书的出版拓展了我们对这些最亲近的亲戚的认知。
1.1,75,93,德斯蒙德·莫里斯推荐序,德斯蒙德·莫里斯提出，人类与猿类的性质差异逐渐变得模糊，研究发现黑猩猩具有艺术才能、工具制造能力和语言能力，人们对猿类的态度从恐惧变成友好，从而引发了科学家对猿类智能的重要研究。
1.1,94,100,德斯蒙德·莫里斯推荐序,"简·古多尔等人开启野外实地研究，安东与简·范·霍夫兄弟在荷兰阿纳姆动物园建立大型黑猩猩圈养基地，推动了人类对黑猩猩行为的理解，不断带来新发现，《黑猩猩的政治》一书的出版拓展了我们对这些最亲近的亲戚的认知。

简·古多尔等人开启野外实地研究，探索黑猩猩社会生活，拓展人"
1.1,75,93,德斯蒙德·莫里斯推荐序,德斯蒙德·莫里斯提出，人类与猿类的差异逐渐模糊，研究发现猿类具有艺术、工具制造和语言能力，人们对猿类的态度变得友好，引发了科学家对猿类智能的研究。
1.1,94,100,德斯蒙德·莫里斯推荐序,类对其行为的认知，《黑猩猩的政治》一书的出版更进一步拓展了我们对这些最亲近的亲戚的认知。
1.1,75,100,德斯蒙德·莫里斯推荐序,德斯蒙德·莫里斯提出，人类与猿类的差异逐渐模糊，引发科学家对猿类智能的研究，《黑猩猩的政治》一书的出版拓展了我们对猿类的认知。
1.2,101,102,25周年纪念版前言,25年来，政治一直具有永恒的魅力，它不仅仅是人类的事务，甚至黑猩猩也在从事政治。
1.2,103,104,25周年纪念版前言,《黑猩猩的政治》涉及人类和近亲的威胁、结盟与孤立策略，可用于贬低或提升政治家们的自我。
1.2,105,106,25周年纪念版前言,书封面上搂着黑猩猩的形象嘲笑人类，但实际上可以从猿类的行为中获得关于人类本性的重要线索。
1.2,107,108,25周年纪念版前言,黑猩猩与人类在行为上有许多相似之处，这使得我们在灵长类动物中的地位更加明确。
1.2,109,110,25周年纪念版前言,人类一直在寻找自身独特性的证据，从工具制造到黑猩猩使用树枝探入白蚁穴，再到语言的符号性交流，都是人类独特性的体现。
1.2,111,112,25周年纪念版前言,研究猿类行为的科学家发现，猿类与人类有着相似的行为，这表明人类在宇宙中的特殊地位可能是可变的。20世纪早期的实验科学家开始积累人类对猿类行为的知识。
1.2,113,114,25周年纪念版前言,"沃尔夫冈·科勒描述的""科勒瞬间""概念被用来描述猿类的性情，娜杰日达·拉德金娜科茨提供了黑猩猩与儿子之间的表情对比。"
1.2,115,116,25周年纪念版前言,实验室研究和实地考察之间的紧张关系一直存在，但黑猩猩研究的历史却是实验室研究和实地考察的杂交力量的展示。
1.2,117,119,25周年纪念版前言,1930年代开始，研究者们开始认真尝试研究荒野中的黑猩猩，1960年代，简·古多尔和西田利贞分别在坦噶尼喀湖东岸和马哈尔山上建立营地，开展长期项目研究黑猩猩行为。
1.2,120,121,25周年纪念版前言,实地研究发现黑猩猩不仅是和平的素食者，还有惊人的社会复杂性，甚至会捕食猴子。研究者们还发现黑猩猩会经常聚会，形成一个社会团体。
1.2,122,123,25周年纪念版前言,"黑猩猩以""分裂-融合""的社会体制分化成小""帮伙""，与此形成对照的是，相邻区域之间的互动往往是敌对性的。"
1.2,124,125,25周年纪念版前言,发现黑猩猩也会自杀，抛弃了关于人类独特性的论调，1970年代的研究将黑猩猩与人类接近的程度提升到前所未有的高度。
1.2,126,127,25周年纪念版前言,戈登·盖洛普证明猿类具有自我意识，埃米尔·门泽尔的实验揭示了猿类之间的学习与欺骗，这使得人类与猿类之间的差异更加明显。
1.2,128,129,25周年纪念版前言,1979-1980年间，三十出头的科学家阿纳姆在荷兰的阿纳姆动物园观察和研究黑猩猩，并出版了《黑猩猩的政治》一书。
1.2,130,131,25周年纪念版前言,动物也有内心生活，但行为主义的教条认为人无法知晓，因此没有谈论的余地。
1.2,132,133,25周年纪念版前言,"通过与教授简·范·霍夫的电话讨论，作者首次将群落中出现的变化称为""政治""，并受到大众的重要影响。"
1.2,134,135,25周年纪念版前言,多年来，我向各种参观者发表演讲，推广科学知识，他们对灵长类动物的基本心理学知识表现出认可和强烈的兴趣。
1.2,136,138,25周年纪念版前言,通过乌得勒支大学的研究，作者发现将注意力放在实际的事件上而不是抽象概念上，可以让故事更吸引人。
1.2,139,140,25周年纪念版前言,通过图案反映出猕猴之间的权力游戏的复杂性，利用计算机程序处理数据，对数据进行分类，从而创建出关于攻击性事件、毛皮护理的次数等行为的摘要。
1.2,141,142,25周年纪念版前言,"""

轶事是指难以归纳的独特事件，但它们也可以证明一些科学家的蔑视是正当的，以鲍勃·伍德沃德和卡尔·伯恩斯坦的例子来说，一次普通的盗窃却导致了尼克松失去权力，令人唏嘘。"
1.2,143,145,25周年纪念版前言,Richard Nixon是美国第一位辞职的总统，这件事件对科学归纳有很大的弱点，但也可以发现黑猩猩也会在相似情况下发脾气。
1.2,146,148,25周年纪念版前言,用日记的形式记录事情的展开，记录个体的卷入，以及与先前情形的比较，作出最详细的记录，以此来分析与理解事件。
1.2,149,150,25周年纪念版前言,"经过几年的笔记查阅，《黑猩猩的政治》一书最终成形，受到普通读者和学术界的好评，并被称为""经典之作""，其成功得益于书中清晰可辨的猿类故事。"
1.2,151,152,25周年纪念版前言,这本书的基础性假设完美契合1980年代的时代精神，反映了当时人们对待动物态度的变化，也说明科学发展从来都不是完全独立的。
1.2,153,155,25周年纪念版前言,唐纳德·格里芬的《动物的意识问题》和约翰·霍普金斯大学出版社的《黑猩猩的政治》一书，25年来仍受到读者的关注，为普通读者和新任议员们提供了探索动物与人之间关系的机会。
1.2,156,158,25周年纪念版前言,25周年纪念版收录了新的彩色照片和更新的资料，类比岛屿生物地理学，提出了可以应用于更复杂系统的概念。
1.2,159,161,25周年纪念版前言,阿纳姆动物园的黑猩猩岛上环境简单，雄性玩家多于野生黑猩猩群体，发现的一般原理适用于任何地方的权力斗争。
1.2,162,163,25周年纪念版前言,我一直热衷于写通俗读物，以吸引学生进入学术领域，并以大众化的面貌展现出来。同时，我也监管着一个活跃的研究团队，过着双重的生活。
1.2,164,165,25周年纪念版前言,白天研究科学，晚上写通俗著作，处理大问题，避免与人类政治直接对比，如耶罗恩的权力与老年政治家的权力惊人相似。
1.2,166,167,25周年纪念版前言,政治家们利用年轻政治家之间的竞争来获取权力，就像黑猩猩在选举期外通过护理毛皮或逗孩子来取悦雌黑猩猩一样。
1.2,168,169,25周年纪念版前言,"尽管有许多类比，作者仍回避了所有这些，直接报告阿纳姆的黑猩猩经历，不受""人类在类似情况下会怎么做""的影响。"
1.2,170,172,25周年纪念版前言,人类普遍具有权力欲望，从办公室到政治圈，从大学到家庭，都在使用各种权术，这也是人类进化的联系。
1.2,101,108,25周年纪念版前言,25年来，政治一直具有永恒的魅力，黑猩猩也在从事政治，《黑猩猩的政治》涉及人类和近亲的威胁、结盟与孤立策略，可从猿类的行为中获得关于人类本性的重要线索，使得我们在灵长类动物中的地位更加明确。
1.2,109,114,25周年纪念版前言,人类一直在探索自身独特性，研究猿类行为的科学家发现，猿类与人类有着相似的行为，提示人类在宇宙中的特殊地位可能是可变的。20世纪早期的实验科学家积累了人类对猿类行为的知识。
1.2,115,121,25周年纪念版前言,黑猩猩研究历史是实验室研究和实地考察的结合，实地考察发现黑猩猩具有复杂的社会性，会捕食猴子，并形成社会团体。
1.2,122,129,25周年纪念版前言,黑猩猩的社会体制、自杀行为、自我意识、学习与欺骗等行为，使得人类与猿类之间的差异更加明显，1979-1980年间，阿纳姆出版了《黑猩猩的政治》一书。
1.2,130,138,25周年纪念版前言,"作者发现动物也有内心生活，并将其称为""政治""，他通过演讲推广科学知识，受到大众的重视，也发现将注意力放在实际事件上可以让故事更吸引人。"
1.2,139,145,25周年纪念版前言,
1.2,146,152,25周年纪念版前言,《黑猩猩的政治》是一本经典之作，它反映了1980年代人们对待动物态度的变化，也说明科学发展从来都不是完全独立的，是通过记录事件展开、个体卷入以及与先前情形的比较，作出最详细的记录来分析与理解事件而成功的。
1.2,153,161,25周年纪念版前言,25年来，唐纳德·格里芬和约翰·霍普金斯大学出版社的书籍仍受到读者的关注，为探索动物与人之间关系提供了机会，25周年纪念版收录了新的彩色照片和更新的资料，类比岛屿生物地理学，提出了可以应用于更复杂系统的概念。
1.2,162,167,25周年纪念版前言,我热衷于写通俗读物，以吸引学生进入学术领域，并管理一个活跃的研究团队，白天研究科学，晚上写通俗著作，探索人类政治与动物行为的相似之处。
1.2,168,172,25周年纪念版前言,作者回避了类比，直接报告阿纳姆的黑猩猩经历，揭示了人类普遍具有权力欲望，以及权术在人类进化中的重要作用。
1.2,101,114,25周年纪念版前言,"25年来，研究猿类行为的科学家发现，猿类与人类有着相似的行为，提示人类在宇宙中的特殊地位可能是可变的，从而使得我们在灵长类动物中的地位更加明确。研究黑猩猩政治的实验科学家积累了人类对猿类行为的知识，从而揭示了人类本性的重要线索。

研究猿类行为发现人类与猿类有相似行为"
1.2,115,145,25周年纪念版前言,研究发现黑猩猩具有复杂的社会性，自杀行为、自我意识、学习与欺骗等行为，使得人类与猿类之间的差异更加明显，阿纳姆出版的《黑猩猩的政治》一书揭示了动物也有内心生活，受到大众的重视。黑猩猩研究历史是实验室研究和实地考察的结合，推动了人类对动物行为的认识。
1.2,146,161,25周年纪念版前言,《黑猩猩的政治》是一本经典之作，反映了1980年代人们对待动物态度的变化，25年来仍受到读者的关注，提供了探索动物与人之间关系的机会，提出了可以应用于更复杂系统的概念。
1.2,162,172,25周年纪念版前言,作者热衷于探索人类政治与动物行为的相似之处，通过写通俗读物吸引学生进入学术领域，报告阿纳姆的黑猩猩经历，揭示了人类普遍具有权力欲望，以及权术在人类进化中的重要作用。
1.2,101,114,25周年纪念版前言,，揭示了人类本性的重要线索，提示人类在宇宙中的特殊地位可能是可变的。
1.2,115,161,25周年纪念版前言,黑猩猩研究发现它们具有复杂的社会性，《黑猩猩的政治》一书揭示了动物也有内心生活，推动了人类对动物行为的认识，25年来仍受到读者的关注，提供了探索动物与人之间关系的机会。
1.2,162,172,25周年纪念版前言,作者通过写通俗读物，探索人类政治与动物行为的相似之处，报告阿纳姆的黑猩猩经历，揭示了权力欲望和权术在人类进化中的重要作用。
1.2,101,172,25周年纪念版前言,《黑猩猩的政治》揭示了人类本性的重要线索，指出人类在宇宙中的特殊地位可能是可变的，推动了人类对动物行为的认识，提供了探索人类与动物之间关系的机会。
2,173,173,第二部分,"提出了一种新的解决方案，它可以有效地解决问题。
新方案可有效解决问题。"
2.0,174,175,1.它们真的是小丑吗,黑猩猩的外表使游客发笑，他们只要随处走走或随便坐坐就能让人发笑。
2.0,176,177,1.它们真的是小丑吗,人类与黑猩猩之间有着明显的相似性，令人不自在却又迷住，随着科学家们对大猿的认识越来越深，认同危机也越来越深。
2.0,178,179,1.它们真的是小丑吗,通过观察黑猩猩的双眼，可以发现它们具有智慧和自信，而且也可以反看着我们。研究表明，人类与动物之间的差异正在逐渐缩小。
2.0,180,181,1.它们真的是小丑吗,黑猩猩具有自我意识，能够理解因果关系，制造工具，打猎、吃肉，扩张领土，甚至自相残杀。
2.0,182,183,1.它们真的是小丑吗,艾伦·加德纳夫妇研究小组成功教会黑猩猩使用符号交流，表明猿的心理可以理解，但仍缺少对猿的社会组织的了解。
2.0,184,185,1.它们真的是小丑吗,黑猩猩拥有复杂的社会生活，但我们对其了解仍然有限，野外考察工作者能够经常看到那些动物是很幸运的。
2.0,186,187,1.它们真的是小丑吗,研究者们在荷兰阿纳姆的布尔格尔斯动物园可以全面研究黑猩猩的集体生活，以解开社会性变化的原因。
2.0,188,190,1.它们真的是小丑吗,研究发现黑猩猩的社会组织与人类非常相似，令人难以置信。1984年，政治学家对此做出了评论，动物世界中的小丑们在政治舞台上表现出色。
2.0,191,193,1.它们真的是小丑吗,* 马基雅弗利的政治哲学可以用来解释黑猩猩的行为，新闻记者将本国政治家与黑猩猩进行了比较。
2.0,194,196,1.它们真的是小丑吗,"法国罗谢出版社在1987年出版的《黑猩猩的政治》封面上放置了一幅夹在弗朗索瓦·密特朗和雅克·希拉克之间的黑猩猩的画，这一不敬的封面暗示着对政治家的诋毁，德文版的书名也被重新命名为《我们多毛的堂表兄弟姐妹》。

1987年，法国罗谢出版社出版的《黑猩猩的政治》封面上放置了一幅夹在弗朗索瓦·密特朗"
2.0,197,198,1.它们真的是小丑吗,市场营销的决策偏离了本书的要旨，本书提出人与猿之间的基本相似性，提醒人们反省自身行为。
2.0,199,200,1.它们真的是小丑吗,他们的读者只需要概要，但概述的图画可能缺乏说服力，解释也可能被质疑。
2.0,201,202,1.它们真的是小丑吗,通过对黑猩猩的观察，本文将报告权力竞争和地位颠覆对性特权的影响。
2.0,203,203,1.它们真的是小丑吗,社会互动的基础机制，如互惠、战略谋划和三角关系意识，与人类活动的机制相似。
2.0,174,181,1.它们真的是小丑吗,黑猩猩的外表可以让人发笑，但它们与人类之间有着惊人的相似性，科学家们发现它们具有智慧和自信，研究表明人类与动物之间的差异正在缩小。
2.0,182,190,1.它们真的是小丑吗,艾伦·加德纳夫妇研究小组成功教会黑猩猩使用符号交流，发现黑猩猩的社会组织与人类非常相似，1984年政治学家称其为“小丑们在政治舞台上表现出色”。
2.0,191,196,1.它们真的是小丑吗,和雅克·希拉克之间的黑猩猩的画，用马基雅弗利的政治哲学暗示对政治家的诋毁。
2.0,197,203,1.它们真的是小丑吗,本书提出人类与猿之间的基本相似性，通过对黑猩猩的观察，报告权力竞争和地位颠覆对性特权的影响，提醒人们反省自身行为。
2.0,174,196,1.它们真的是小丑吗,黑猩猩与人类有惊人的相似性，研究发现它们具有智慧和自信，科学家们成功教会黑猩猩使用符号交流，政治学家用它们的画暗示对政治家的诋毁。
2.0,197,203,1.它们真的是小丑吗,本书提出人猿共性，报告权力竞争对性特权的影响，提醒人们反省自身行为。
2.0,174,203,1.它们真的是小丑吗,本书提出黑猩猩与人类有惊人的相似性，报告权力竞争对性特权的影响，提醒人们反省自身行为。
2.1,204,205,1.第一印象,总结：阿纳姆动物园的林荫大道上有各种鸟类，而大道末端的户外圈养区中则有黑猩猩发出沙哑的吼叫声。
2.1,206,207,1.第一印象,游客们可以在瞭望塔上近距离观赏黑猩猩，但需要绕过20米的距离，并且要通过玻璃隔离，以防止喂食。
2.1,208,209,1.第一印象,这片地方原有大树林，现仍有50棵高大的橡树和山毛榉，大部分被电栅栏保护，中央有些橡树没有保护，树皮已被剥掉，它们对黑猩猩群落有重要作用。
2.1,210,212,1.第一印象,群落中的攻击性遭遇战以树枝为辅助，游客们只能站着看，但可以看到更多的动物，这种半自然式的规划需要成员习惯。
2.1,213,215,1.第一印象,海尼·黑第格尔发现动物在被关押的环境中会表现出无聊的行为，他创立了动物园生物学，现代动物园更加注重少种类动物的关押。
2.1,216,217,1.第一印象,阿纳姆动物园的黑猩猩展示标志着从猿被关在笼中到自然式圈养区的里程碑，在野生环境中猿濒临灭绝的时期，某些猿群得以在人类提供的保护下有效生存。
2.1,218,220,1.第一印象,阿纳姆黑猩猩群落中，毛皮护理是最常见的社会活动，猿们伴随着轻微的噼啪声和拍打声，互相护理毛皮，表现出欣然的表情。
2.1,221,222,1.第一印象,成年雌黑猩猩们形成毛皮护理队列时，孩子们会在附近游荡，小的夹在母亲肚子上，大的耗不完的精力，玩捉迷藏游戏，打扰毛皮护理活动。
2.1,223,224,1.第一印象,阿纳姆黑猩猩群落独特之处在于其规模、圈养区面积、年轻黑猩猩数量以及雄黑猩猩体型及毛发厚密程度。
2.1,225,226,1.第一印象,雄黑猩猩的攻击行为可以提前十分钟以不引人注目的形式预示，参观者可以有充足的时间准备。
